name;stars;age_days;prs;releases;update_days;language;issues_ratio
MunGell/awesome-for-beginners;83188;3785;469;0;9;Unknown;92.16%
macrozheng/mall;83037;2893;1;3;0;Java;98.00%
realworld-apps/realworld;82927;3660;434;0;0;TypeScript;93.94%
animate-css/animate.css;82615;5259;315;22;584;CSS;95.47%
punkpeye/awesome-mcp-servers;82343;461;1447;0;0;Unknown;71.23%
bregman-arie/devops-exercises;81401;2345;309;0;69;Python;67.31%
DopplerHQ/awesome-interview-questions;81272;3751;175;0;585;Unknown;55.74%
tonsky/FiraCode;81246;4132;142;29;2;Clojure;69.49%
syncthing/syncthing;80556;4483;2837;462;1;Go;93.65%
astral-sh/uv;80375;885;8514;259;0;Rust;72.61%
modelcontextprotocol/servers;80340;472;1178;24;5;TypeScript;66.67%
spring-projects/spring-boot;80181;4885;42;339;0;Java;98.75%
ByteByteGoHq/system-design-101;80070;899;23;0;335;Unknown;31.03%
hacksider/Deep-Live-Cam;79869;894;98;10;2;Python;92.64%
browser-use/browser-use;79761;490;1668;118;0;Python;90.72%
fighting41love/funNLP;79224;2754;14;0;665;Python;56.47%
doocs/advanced-java;78886;2708;89;1;43;Java;99.32%
vitejs/vite;78633;2145;6058;658;0;TypeScript;94.54%
anuraghazra/github-readme-stats;78633;2066;1568;0;3;JavaScript;88.73%
junegunn/fzf;78342;4516;642;76;0;Go;91.81%
hoppscotch/hoppscotch;78182;2389;2038;99;0;TypeScript;75.64%
netdata/netdata;77967;4644;11754;132;0;C;98.15%
tensorflow/models;77691;3682;2342;51;0;Python;85.20%
nomic-ai/gpt4all;77201;1074;938;38;282;C++;67.50%
MisterBooo/LeetCodeAnimation;76722;2647;63;0;935;Java;70.49%
zed-industries/zed;76511;1840;22146;1000;0;Rust;85.88%
coder/code-server;76503;2563;1639;224;0;TypeScript;95.60%
Developer-Y/cs-video-courses;76427;3422;257;0;12;Unknown;0.00%
FortAwesome/Font-Awesome;76398;5131;220;63;23;JavaScript;98.53%
elastic/elasticsearch;76281;5870;87421;235;0;Java;89.67%
mlabonne/llm-course;76135;992;2;0;29;Unknown;33.68%
localsend/localsend;76051;1176;701;24;2;Dart;46.33%
d2l-ai/d2l-zh;76013;3117;1019;16;584;Python;0.00%
sdmg15/Best-websites-a-programmer-should-visit;75784;3287;431;0;170;Unknown;56.76%
swisskyrepo/PayloadsAllTheThings;75767;3426;564;5;1;Python;0.00%
typicode/json-server;75640;4482;161;46;6;JavaScript;48.05%
Stirling-Tools/Stirling-PDF;75008;1133;3182;168;0;TypeScript;79.25%
nestjs/nest;74872;3316;8089;143;0;TypeScript;99.71%
ventoy/Ventoy;74849;2186;294;108;33;C;69.71%
anthropics/claude-code;74574;376;145;55;0;Shell;82.06%
github/spec-kit;74551;196;179;112;0;Python;38.42%
infiniflow/ragflow;74278;815;5470;40;0;Python;54.82%
unionlabs/union;74264;1024;3102;107;9;Rust;93.03%
vuejs/awesome-vue;73627;3790;3612;0;0;Unknown;83.04%
jesseduffield/lazygit;73613;2848;1809;176;4;Go;69.02%
sherlock-project/sherlock;73412;2629;734;2;0;Python;93.04%
redis/redis;73301;6193;4428;117;0;C;68.08%
awesomedata/awesome-public-datasets;73286;4124;188;1;1;Unknown;38.71%
lobehub/lobehub;73189;1020;4349;1000;0;TypeScript;91.24%
twitter/the-algorithm;72843;1074;2;0;178;Scala;70.26%
tesseract-ocr/tesseract;72727;4223;1432;35;6;C++;84.35%
CompVis/stable-diffusion;72633;1304;5;0;626;Jupyter Notebook;27.07%
grafana/grafana;72517;4467;62673;592;0;TypeScript;92.42%
obra/superpowers;72457;147;39;2;12;Shell;68.77%
thedaviddias/Front-End-Checklist;72317;3063;179;1;30;Unknown;99.34%
enaqx/awesome-react;72259;4230;794;0;51;Unknown;98.32%
vllm-project/vllm;72229;1121;14492;84;0;Python;87.71%
josephmisiti/awesome-machine-learning;71867;4251;902;0;35;Python;98.98%
python/cpython;71861;3310;57256;0;0;Python;90.50%
openai/openai-cookbook;71857;1456;1008;0;0;Jupyter Notebook;90.10%
abi/screenshot-to-code;71804;842;71;0;1;TypeScript;71.39%
ocornut/imgui;71749;4246;418;118;7;C++;84.67%
PaddlePaddle/PaddleOCR;71686;2128;3119;29;1;Python;97.86%
PKUFlyingPig/cs-self-learning;71629;1598;315;5;10;HTML;45.89%
strapi/strapi;71486;3809;9586;514;0;TypeScript;95.14%
moby/moby;71483;4794;22359;276;0;Go;86.02%
pallets/flask;71329;5813;1627;38;1;Python;100.00%
dair-ai/Prompt-Engineering-Guide;71190;1175;342;0;7;MDX;30.71%
apache/superset;70823;3880;16455;243;0;TypeScript;94.65%
protocolbuffers/protobuf;70807;4209;8741;208;0;C++;98.16%
obsproject/obs-studio;70738;4539;5422;237;0;C;84.61%
hakimel/reveal.js;70672;5385;413;49;1;JavaScript;68.11%
caddyserver/caddy;70614;4069;2266;134;0;Go;95.63%
binary-husky/gpt_academic;70174;1082;228;32;40;Python;84.28%
fffaraz/awesome-cpp;70048;4250;839;0;0;Unknown;60.24%
swiftlang/swift;69851;3786;58090;66;0;C++;57.60%
Eugeny/tabby;69326;3360;1512;204;5;TypeScript;58.19%
danielmiessler/SecLists;69277;5129;696;29;0;PHP;96.86%
nektos/act;69171;2619;1057;92;1;Go;81.64%
binhnguyennus/awesome-scalability;69027;2991;37;0;61;Unknown;0.00%
expressjs/express;68866;6096;522;164;5;JavaScript;97.52%
base/node;68708;1129;249;72;0;Go;97.88%
OpenHands/OpenHands;68659;723;6450;99;0;Python;95.61%
AppFlowy-IO/AppFlowy;68411;1724;3894;127;9;Dart;76.80%
ansible/ansible;68213;5112;39672;207;0;Python;98.39%
hiyouga/LlamaFactory;67977;1013;901;35;0;Python;88.51%
chartjs/Chart.js;67220;4736;3016;117;6;JavaScript;93.37%
prakhar1989/awesome-courses;66858;4128;194;0;1037;Unknown;46.99%
juliangarnier/anime;66750;3644;87;34;20;JavaScript;89.82%
leonardomso/33-js-concepts;66263;2740;262;0;5;JavaScript;100.00%
webpack/webpack;66024;5109;5566;448;0;JavaScript;98.89%
labmlai/annotated_deep_learning_paper_implementations;65871;2019;104;0;43;Python;80.28%
apache/echarts;65849;4720;1493;122;1;TypeScript;91.48%
xtekky/gpt4free;65720;1072;871;429;1;Python;99.55%
TapXWorld/ChinaTextbook;65598;2252;1;0;139;Roff;47.20%
NationalSecurityAgency/ghidra;65423;2562;553;52;0;Java;73.76%
scikit-learn/scikit-learn;65308;5680;14167;49;0;Python;86.73%
lydiahallie/javascript-questions;65298;2459;328;0;578;Unknown;92.46%
sindresorhus/awesome-nodejs;65185;4256;421;0;51;Unknown;97.14%
TheAlgorithms/Java;65169;3520;2268;0;0;Java;97.92%
kdn251/interviews;64972;3306;42;0;298;Java;41.38%
bradtraversy/design-resources-for-developers;64962;2130;967;0;33;Unknown;98.20%
kelseyhightower/nocode;64935;2949;1;1;576;Dockerfile;14.80%
FoundationAgents/MetaGPT;64822;980;673;22;44;Python;98.23%
chrislgarry/Apollo-11;64637;4354;355;0;43;Assembly;85.27%
localstack/localstack;64566;3418;6813;106;0;Python;95.03%
toeverything/AFFiNE;64151;1313;9031;540;0;TypeScript;86.09%
facebook/docusaurus;64012;3180;5624;154;0;TypeScript;91.50%
keras-team/keras;63912;3996;4662;86;0;Python;98.53%
openai/codex;63493;327;4315;576;0;Rust;77.07%
prometheus/prometheus;63071;4850;8239;359;0;Go;91.95%
socketio/socket.io;62930;5838;440;82;0;TypeScript;94.90%
alacritty/alacritty;62814;3669;1918;105;1;Rust;94.86%
resume/resume.github.com;62811;5507;84;0;1115;JavaScript;52.38%
OpenBB-finance/OpenBB;62626;1902;4216;54;0;Python;98.51%
affaan-m/everything-claude-code;62593;47;89;10;0;JavaScript;95.38%
openinterpreter/open-interpreter;62557;966;384;48;25;Python;76.55%
daytonaio/daytona;62376;759;1861;162;0;TypeScript;77.85%
nocodb/nocodb;62356;3049;5827;183;0;TypeScript;90.41%
rust-lang/rustlings;62062;3825;922;46;7;Rust;93.54%
traefik/traefik;62056;3826;5084;507;0;Go;89.86%
gorhill/uBlock;61929;3991;256;283;0;JavaScript;99.62%
FuelLabs/sway;61914;1871;3640;185;0;Rust;74.06%
ryanoasis/nerd-fonts;61884;4109;565;38;26;CSS;95.83%
lodash/lodash;61580;5081;614;2;11;JavaScript;98.52%
tldr-pages/tldr;61554;4471;17754;6;0;Markdown;87.89%
unclecode/crawl4ai;61450;666;163;13;0;Python;80.60%
reduxjs/redux;61440;3933;1747;78;0;TypeScript;98.21%
LadybirdBrowser/ladybird;61062;645;5900;0;0;C++;62.96%
atom/atom;60988;5158;3937;538;1158;JavaScript;94.37%
xingshaocheng/architect-awesome;60843;2891;49;0;694;Unknown;32.39%
h5bp/Front-end-Developer-Interview-Questions;60796;5138;484;0;6;Nunjucks;80.79%
scrapy/scrapy;60610;5856;2475;46;4;Python;85.78%
youngyangyang04/leetcode-master;60595;2274;2311;0;38;Shell;24.55%
BurntSushi/ripgrep;60593;3647;544;74;6;Rust;94.68%
minio/minio;60437;4068;9882;521;21;Go;99.43%
commaai/openpilot;60236;3389;12647;61;0;Python;94.38%
adam-p/markdown-here;60162;5045;27;17;196;JavaScript;52.52%
jquery/jquery;59852;6180;867;13;3;JavaScript;96.81%
nuxt/nuxt;59799;3418;7477;274;0;TypeScript;95.28%
spring-projects/spring-framework;59708;5567;906;357;0;Java;98.88%
jgraph/drawio-desktop;59686;3206;22;169;0;JavaScript;96.43%
git/git;59508;6435;3;0;0;C;0.00%
CorentinJ/Real-Time-Voice-Cloning;59504;2476;50;0;81;Python;85.60%
