name;stars;age_days;prs;releases;update_days;language;issues_ratio
openai/CLIP;32713;1906;29;0;16;Jupyter Notebook;43.44%
google/comprehensive-rust;32695;1170;2402;0;0;Rust;66.85%
alibaba/nacos;32692;2821;3339;88;0;Java;97.81%
anthropics/prompt-eng-interactive-tutorial;32683;702;1;0;4;Jupyter Notebook;11.43%
mli/paper-reading;32640;1596;15;0;349;Unknown;0.00%
qier222/YesPlayMusic;32629;1974;292;32;47;Vue;65.43%
binarywang/WxJava;32604;3712;1184;31;0;Java;99.72%
MonitorControl/MonitorControl;32592;3092;220;26;25;Swift;98.42%
stanfordnlp/dspy;32583;1151;1469;106;0;Python;81.68%
lutzroeder/netron;32531;5549;1;4;0;JavaScript;98.64%
restic/restic;32528;4331;2318;49;5;Go;84.67%
block/goose;32524;559;4289;122;0;Rust;83.81%
remix-run/remix;32475;1956;3662;357;0;TypeScript;98.70%
floating-ui/floating-ui;32469;3628;1209;506;3;TypeScript;97.77%
yewstack/yew;32456;3002;1882;38;0;Rust;92.43%
open-mmlab/mmdetection;32442;2753;2358;53;562;Python;79.23%
beego/beego;32428;5119;1326;42;4;Go;99.94%
ziadoz/awesome-php;32406;4483;457;0;9;Unknown;98.71%
cursor/cursor;32386;1090;47;0;34;Unknown;0.00%
glanceapp/glance;32377;677;110;33;86;Go;57.91%
k3s-io/k3s;32362;2836;4461;957;0;Go;98.64%
vercel/swr;32329;2320;816;126;6;TypeScript;85.41%
lizongying/my-tv;32248;823;11;72;624;C;84.36%
medusajs/medusa;32244;2239;8409;146;0;TypeScript;98.11%
google/material-design-lite;32216;4068;655;14;360;HTML;82.30%
0xAX/linux-insides;32214;4079;619;0;4;Python;87.96%
datalab-to/marker;32212;857;228;71;1;Python;49.77%
labstack/echo;32211;4022;629;116;10;Go;96.78%
yunjey/pytorch-tutorial;32210;3283;28;0;934;Python;63.33%
Lissy93/web-check;32203;985;53;1;33;TypeScript;47.79%
KeygraphHQ/shannon;32193;160;58;0;0;TypeScript;88.31%
facebookresearch/fairseq;32179;3110;236;16;157;Python;71.83%
The-Run-Philosophy-Organization/run;32142;1426;172;0;583;Unknown;82.76%
linera-io/linera-protocol;32136;1538;3550;31;0;Rust;62.53%
koala73/worldmonitor;32121;56;702;43;0;TypeScript;68.87%
apache/kafka;32116;5316;12777;0;0;Java;0.00%
frappe/erpnext;32093;5385;28725;1000;0;Python;89.00%
PDFMathTranslate/PDFMathTranslate;32072;546;136;24;101;Python;85.41%
ashishpatel26/500-AI-Machine-learning-Deep-learning-Computer-vision-NLP-Projects-with-code;32056;1889;3;0;217;Unknown;35.14%
cockroachdb/cockroach;31995;4411;72820;0;0;Go;91.83%
NginxProxyManager/nginx-proxy-manager;31984;2997;683;86;0;TypeScript;73.46%
lovell/sharp;31981;4581;311;107;2;JavaScript;97.07%
linexjlin/GPTs;31978;846;45;0;525;Unknown;67.74%
nicolargo/glances;31954;5206;772;55;1;Python;93.94%
hasura/graphql-engine;31913;2818;2110;300;0;TypeScript;64.99%
PostHog/posthog;31908;2233;34644;84;0;Python;69.97%
dokku/dokku;31892;4654;4511;317;0;Shell;99.05%
casey/just;31867;3549;1370;131;18;Rust;74.44%
Trinea/android-open-project;31840;4442;204;0;215;Unknown;86.21%
niklasvh/html2canvas;31811;5347;186;45;596;TypeScript;63.20%
Chanzhaoyu/chatgpt-web;31806;1121;159;43;566;Vue;100.00%
valinet/ExplorerPatcher;31768;1670;19;296;122;C;88.68%
microsoft/MS-DOS;31764;2810;37;0;679;Assembly;0.00%
airbnb/lottie-web;31735;4031;136;0;186;JavaScript;73.18%
amix/vimrc;31719;5028;107;0;516;Vim Script;97.51%
kovidgoyal/kitty;31677;3427;1244;132;0;Python;99.86%
vbenjs/vue-vben-admin;31675;2064;1748;61;0;Vue;98.00%
continuedev/continue;31670;1017;3891;803;0;TypeScript;81.18%
ReactiveX/rxjs;31653;4009;2588;2;375;TypeScript;92.95%
facebook/rocksdb;31600;4844;620;212;0;C++;75.69%
codex-team/editor.js;31590;3750;870;107;0;TypeScript;60.84%
ianstormtaylor/slate;31579;3548;1980;210;1;TypeScript;78.93%
numpy/numpy;31568;5652;13925;139;0;Python;84.86%
shardeum/shardeum;31567;688;326;0;172;TypeScript;87.50%
kubernetes/minikube;31557;3611;9396;154;3;Go;95.07%
tinygrad/tinygrad;31498;1964;10528;14;0;Python;88.55%
conductor-oss/conductor;31491;819;340;33;0;Java;59.34%
OWASP/CheatSheetSeries;31490;2632;1199;0;0;Python;92.06%
ItzCrazyKns/Perplexica;31485;696;82;33;21;TypeScript;70.64%
surrealdb/surrealdb;31450;1547;2606;121;0;Rust;74.99%
TauricResearch/TradingAgents;31414;433;19;1;9;Python;16.84%
OpenBMB/ChatDev;31413;921;136;11;7;Python;88.78%
raysan5/raylib;31400;4515;2448;24;1;C;100.00%
tokio-rs/tokio;31376;3464;3802;141;0;Rust;87.58%
Dokploy/dokploy;31357;686;1329;147;0;TypeScript;75.63%
influxdata/influxdb;31352;4544;10939;95;0;Rust;85.55%
MHSanaei/3x-ui;31350;1120;642;102;1;HTML;84.72%
coolsnowwolf/lede;31336;3103;2051;7;1;C;91.22%
patchy631/ai-engineering-hub;31300;501;62;0;7;Jupyter Notebook;31.82%
microsoft/WSL;31284;3620;543;97;0;C++;92.38%
alpinejs/alpine;31279;2290;694;146;6;HTML;100.00%
microsoft/graphrag;31269;708;720;35;0;Python;96.38%
mathiasbynens/dotfiles;31255;5295;44;0;577;Shell;64.89%
donnemartin/interactive-coding-challenges;31216;3964;176;0;666;Python;46.38%
parallax/jsPDF;31167;5933;753;41;3;JavaScript;95.98%
motiondivision/motion;31134;2667;1177;0;0;TypeScript;89.72%
SagerNet/sing-box;31130;1345;191;499;0;Go;94.58%
mqyqingfeng/Blog;31123;3280;3;0;3;Unknown;25.31%
DevToys-app/DevToys;31046;1619;501;39;9;C#;67.82%
docsifyjs/docsify;31030;3393;782;16;1;JavaScript;93.82%
SortableJS/Sortable;31020;4460;248;31;22;JavaScript;73.75%
tqdm/tqdm;31005;3929;289;133;20;Python;57.17%
fabricjs/fabric.js;30982;5748;2429;181;0;TypeScript;93.17%
pear-devs/pear-desktop;30968;2512;1630;87;0;TypeScript;70.44%
symfony/symfony;30967;5905;25589;600;0;PHP;98.37%
eriklindernoren/ML-From-Scratch;30957;3316;9;0;873;Python;47.44%
OAI/OpenAPI-Specification;30940;4385;1793;14;4;Markdown;95.73%
iawia002/lux;30929;2932;304;86;67;Go;51.07%
containers/podman;30920;3046;12213;236;0;Go;91.32%
Lightning-AI/pytorch-lightning;30904;2532;9336;172;0;Python;88.84%
ascoders/weekly;30888;3273;136;193;543;JavaScript;98.92%
microsoft/calculator;30864;2593;913;0;72;C++;63.47%
alibaba/p3c;30832;3178;62;0;577;Kotlin;81.26%
webtorrent/webtorrent;30818;4525;970;229;1;JavaScript;95.94%
blueimp/jQuery-File-Upload;30808;5573;119;0;1016;PHP;98.52%
seaweedfs/seaweedfs;30780;4252;3671;289;0;Go;82.25%
AMAI-GmbH/AI-Expert-Roadmap;30778;1958;14;0;174;JavaScript;77.14%
mantinedev/mantine;30747;1884;1591;291;0;TypeScript;99.25%
aristocratos/btop;30736;1764;372;54;2;C++;53.15%
XIU2/TrackersListCollection;30727;2345;7;0;0;Unknown;0.00%
blakeblackshear/frigate;30664;2596;3728;81;0;TypeScript;98.54%
transloadit/uppy;30662;3763;3275;392;0;TypeScript;93.29%
ityouknow/spring-boot-examples;30646;3408;7;0;838;Java;90.83%
refined-github/refined-github;30617;3671;3598;186;0;TypeScript;98.02%
iperov/DeepFaceLive;30592;1907;13;35;483;Python;99.31%
s0md3v/roop;30547;1013;82;6;564;Python;0.00%
layui/layui;30539;3818;673;173;0;JavaScript;96.28%
dgtlmoon/changedetection.io;30456;1863;1054;203;0;Python;82.07%
wshobson/agents;30389;224;53;0;13;Python;89.83%
VSCodium/vscodium;30376;2762;628;264;0;Shell;91.76%
VincentGarreau/particles.js;30352;4199;21;6;708;JavaScript;25.97%
sequelize/sequelize;30350;5706;5021;489;0;TypeScript;91.35%
chinabugotech/hutool;30339;4345;514;156;1;Java;99.94%
trailofbits/algo;30323;3582;686;4;2;Python;96.06%
ValveSoftware/Proton;30323;2914;13;76;0;C++;44.92%
pmndrs/react-three-fiber;30321;2566;690;131;1;TypeScript;99.49%
herrbischoff/awesome-macos-command-line;30317;3817;104;0;2;Unknown;0.00%
Binaryify/NeteaseCloudMusicApi;30290;3544;292;0;737;Unknown;89.00%
facebook/folly;30275;5025;13;280;0;C++;75.50%
tatsu-lab/stanford_alpaca;30267;1091;6;0;597;Python;36.57%
jobbole/awesome-python-cn;30257;3776;51;0;1285;Makefile;52.94%
joshbuchea/HEAD;30238;3606;87;0;20;Unknown;78.49%
cfenollosa/os-tutorial;30220;4176;11;0;30;C;58.24%
AvaloniaUI/Avalonia;30197;4473;5654;120;0;C#;77.96%
waydabber/BetterDisplay;30194;1594;2;119;1;Unknown;94.11%
openai/openai-python;30161;1957;1053;369;0;Python;86.47%
spf13/viper;30160;4356;520;35;52;Go;99.14%
songquanpeng/one-api;30157;1049;287;55;56;JavaScript;49.86%
cheeriojs/cheerio;30147;5262;3122;62;0;TypeScript;98.29%
dragonflydb/dragonfly;30113;1546;3995;114;0;C++;87.50%
telegramdesktop/tdesktop;30091;4326;1854;830;0;C++;94.30%
grafana/k6;30053;3636;2457;85;0;Go;71.54%
jumpserver/jumpserver;30048;4263;7872;264;0;Python;99.12%
sunface/rust-course;30031;2768;811;0;36;Rust;70.32%
xuxueli/xxl-job;29960;3751;124;42;23;Java;94.76%
StevenBlack/hosts;29959;5075;507;832;5;Python;94.06%
vercel/turborepo;29949;1612;7173;681;0;Rust;94.69%
kingToolbox/WindTerm;29931;2339;1;32;359;C;20.10%
encode/django-rest-framework;29927;5482;3108;21;1;Python;99.01%
square/leakcanary;29908;3963;933;43;0;Kotlin;91.48%
AllThingsSmitty/css-protips;29902;3842;73;0;351;Unknown;98.41%
ageron/handson-ml2;29898;2614;65;0;11;Jupyter Notebook;58.69%
google-research/tuning_playbook;29896;1142;14;0;626;Unknown;75.56%
GoogleChrome/lighthouse;29883;3650;5564;130;0;JavaScript;94.74%
apolloconfig/apollo;29782;3654;1498;42;9;Java;95.85%
hashicorp/consul;29774;4504;14140;256;0;Go;76.81%
foundation/foundation-sites;29764;5257;2958;79;408;HTML;99.26%
iced-rs/iced;29730;2425;1161;18;1;Rust;73.70%
zellij-org/zellij;29699;2012;1387;65;0;Rust;47.25%
nvim-lua/kickstart.nvim;29696;1351;265;0;6;Lua;95.05%
JushBJJ/Mr.-Ranedeer-AI-Tutor;29688;1071;0;3;157;Unknown;69.39%
openssl/openssl;29688;4797;145;297;0;C;89.25%
qarmin/czkawka;29682;2011;468;40;0;Rust;62.19%
filamentphp/filament;29640;2178;5798;821;0;PHP;99.40%
vuejs/vue-cli;29637;3722;1259;178;197;JavaScript;82.97%
sampotts/plyr;29628;4038;393;93;61;JavaScript;57.89%
alibaba/canal;29619;4800;479;32;22;Java;75.50%
nginx/nginx;29613;3909;156;14;2;C;52.52%
aosabook/500lines;29594;4505;175;0;930;JavaScript;58.57%
helm/helm;29581;3804;4440;237;0;Go;96.80%
